gene,default_auc,default_f1,default_recall,default_fpr,default_spec,optimal_c,optimal_auc,optimal_f1,optimal_recall,optimal_fpr,optimal_spec,n_tot,n_benign,n_malign
MED12,0.9046149323927102,0.6265060240963856,0.9285714285714286,0.0714285714285714,0.9285714285714286,0.02900000000000001,0.9169606114050559,0.6753246753246754,0.9285714285714286,0.0714285714285714,0.9285714285714286,271,243,28
PPARG,0.9473684210526316,0.888888888888889,1.0,0.0,1.0,0.02,0.9473684210526316,0.888888888888889,1.0,0.0,1.0,27,19,8
CACNA1G,0.8246659443842541,0.30769230769230765,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.027000000000000007,0.8284579270494763,0.42105263157894735,0.6666666666666666,0.33333333333333337,0.6666666666666666,929,923,6
CYP21A2,0.8957767722473604,0.8433734939759037,0.8974358974358975,0.10256410256410253,0.8974358974358975,0.021,0.9016591251885369,0.8536585365853658,0.8974358974358975,0.10256410256410253,0.8974358974358975,124,85,39
ABCB11,0.9029803424223208,0.8767123287671234,0.8421052631578947,0.1578947368421053,0.8421052631578947,0.02,0.9029803424223208,0.8767123287671234,0.7894736842105263,0.21052631578947367,0.7894736842105263,121,83,38
SAMD9,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.02,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.6666666666666666,16,10,6
NRAS,0.9390243902439024,0.8979591836734693,1.0,0.0,1.0,0.02,0.9390243902439024,0.8979591836734693,1.0,0.0,1.0,63,41,22
L2HGDH,0.9090909090909091,0.846153846153846,1.0,0.0,1.0,0.02,0.9090909090909091,0.846153846153846,1.0,0.0,1.0,33,22,11
OAT,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,38,25,13
EGFR,0.9632352941176471,0.6666666666666666,1.0,0.0,1.0,0.023000000000000003,0.9779411764705883,0.7692307692307693,1.0,0.0,1.0,73,68,5
ATL1,0.8245073891625615,0.7540983606557378,0.8214285714285714,0.1785714285714286,0.8214285714285714,0.019,0.8602216748768472,0.7936507936507937,0.8214285714285714,0.1785714285714286,0.8214285714285714,86,58,28
CENPF,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,20,14,6
FN1,0.9070945945945945,0.2745098039215686,0.875,0.125,0.875,0.02900000000000001,0.9163851351351352,0.35,0.75,0.25,0.75,600,592,8
WRN,0.9573899371069182,0.8285714285714285,0.9666666666666667,0.033333333333333326,0.9666666666666667,0.024000000000000004,0.9644654088050315,0.8656716417910447,0.9666666666666667,0.033333333333333326,0.9666666666666667,242,212,30
PLOD2,0.875,0.8571428571428571,0.75,0.25,0.75,0.02,0.875,0.8571428571428571,0.75,0.25,0.75,30,26,4
PTF1A,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,17,16,1
ZNF469,0.845575221238938,0.6666666666666666,0.7,0.30000000000000004,0.7,0.023000000000000003,0.8477876106194691,0.7368421052631577,0.7,0.30000000000000004,0.7,462,452,10
UMOD,0.93125,0.7555555555555554,1.0,0.0,1.0,0.027000000000000007,0.9562499999999999,0.8292682926829268,1.0,0.0,1.0,97,80,17
PLOD3,0.9811320754716981,0.5,1.0,0.0,1.0,0.02,0.9811320754716981,0.5,1.0,0.0,1.0,54,53,1
CENPE,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,17,15,2
GMNN,0.7,0.6666666666666666,1.0,0.0,1.0,0.022000000000000002,0.8,0.7499999999999999,1.0,0.0,1.0,8,5,3
SLC27A4,0.875,0.5,1.0,0.0,1.0,0.02,0.875,0.5,1.0,0.0,1.0,9,8,1
TBR1,0.75,0.9142857142857143,1.0,0.0,1.0,0.02,0.75,0.9142857142857143,1.0,0.0,1.0,22,6,16
WT1,0.9258118701007838,0.6545454545454545,0.9473684210526315,0.052631578947368474,0.9473684210526315,0.03000000000000001,0.9497480403135498,0.782608695652174,0.9473684210526315,0.052631578947368474,0.9473684210526315,207,188,19
SPATA5,0.8831168831168831,0.8780487804878048,0.8571428571428571,0.1428571428571429,0.8571428571428571,0.016999999999999998,0.9307359307359306,0.9302325581395349,0.8571428571428571,0.1428571428571429,0.8571428571428571,43,22,21
TFAP2A,0.9027777777777778,0.7586206896551725,1.0,0.0,1.0,0.024000000000000004,0.9166666666666667,0.7857142857142858,1.0,0.0,1.0,47,36,11
PGK1,0.8333333333333334,0.2857142857142857,1.0,0.0,1.0,0.023000000000000003,0.8666666666666667,0.33333333333333337,1.0,0.0,1.0,16,15,1
GNB5,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,10,2,8
HNRNPDL,0.9711538461538461,0.4,1.0,0.0,1.0,0.022000000000000002,0.9807692307692308,0.5,1.0,0.0,1.0,53,52,1
ZNF423,0.8135964912280701,0.5,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.02,0.8135964912280701,0.5,0.6666666666666666,0.33333333333333337,0.6666666666666666,79,76,3
FUS,0.9313084112149532,0.7826086956521738,0.9,0.09999999999999998,0.9,0.02,0.9313084112149532,0.7826086956521738,0.9,0.09999999999999998,0.9,117,107,10
HPS4,0.9622641509433962,0.6,1.0,0.0,1.0,0.02,0.9622641509433962,0.6,1.0,0.0,1.0,56,53,3
TMPRSS15,0.86,0.3636363636363636,1.0,0.0,1.0,0.02,0.86,0.3636363636363636,1.0,0.0,1.0,27,25,2
TBXAS1,0.8888888888888888,0.7142857142857143,1.0,0.0,1.0,0.022000000000000002,0.9444444444444444,0.8333333333333333,1.0,0.0,1.0,23,18,5
MIPEP,1.0,1.0,1.0,0.0,1.0,0.02,1.0,1.0,1.0,0.0,1.0,5,2,3
