,Gene,AUC,FPR,Precision,Recall/TPR,F-score,N_benign,N_malign,m_cat,n_snvs
366,FANCA,0.9859154929577465,0.0,0.9230769230769231,1.0,0.9600000000000001,142,48,1,190
367,CNGA3,1.0,0.0,1.0,1.0,1.0,23,20,1,43
368,SPATA5,0.911111111111111,0.06666666666666665,0.875,0.9333333333333333,0.9032258064516129,18,15,1,33
369,ERCC4,0.9696969696969697,0.0,0.6666666666666666,1.0,0.8,33,4,1,37
370,AP4B1,0.9736842105263158,0.0,0.9375,1.0,0.967741935483871,19,15,1,34
371,NPR2,0.9545454545454545,0.0,0.9375,1.0,0.967741935483871,11,15,1,26
372,TUBGCP6,0.9925373134328358,0.0,0.875,1.0,0.9333333333333333,67,7,1,74
373,MPI,0.96875,0.0,0.9230769230769231,1.0,0.9600000000000001,16,12,1,28
374,NEK8,1.0,0.0,1.0,1.0,1.0,7,2,1,9
375,TH,0.9864864864864865,0.0,0.9473684210526315,1.0,0.972972972972973,37,18,1,55
376,GRN,0.9500000000000001,0.0,0.8095238095238095,1.0,0.8947368421052632,40,17,1,57
377,MC2R,0.975,0.0,0.8571428571428571,1.0,0.923076923076923,20,6,1,26
378,ZIC3,0.9791666666666667,0.0,0.8571428571428571,1.0,0.923076923076923,24,6,1,30
379,IL7R,1.0,0.0,1.0,1.0,1.0,24,7,1,31
380,TYR,0.9333333333333333,0.0,0.9583333333333334,1.0,0.9787234042553191,15,46,1,61
381,CC2D2A,0.9659090909090909,0.0,0.896551724137931,1.0,0.9454545454545454,88,52,1,140
382,CHD8,0.7916666666666666,0.0,0.7435897435897436,1.0,0.8529411764705882,24,29,1,53
383,OCA2,0.9594594594594594,0.0,0.8928571428571429,1.0,0.9433962264150945,37,25,1,62
384,NOTCH1,0.9761904761904762,0.0,0.5833333333333334,1.0,0.7368421052631579,420,28,1,448
385,ETHE1,0.9166666666666667,0.0,0.9333333333333333,1.0,0.9655172413793104,6,14,1,20
386,ACTB,0.8616402116402117,0.14814814814814814,0.71875,0.8518518518518519,0.7796610169491525,70,27,1,97
387,CRB2,1.0,0.0,1.0,1.0,1.0,18,10,1,28
388,CLTC,0.8,0.0,0.6923076923076923,1.0,0.8181818181818181,10,9,1,19
389,IFNGR1,1.0,0.0,1.0,1.0,1.0,14,5,1,19
390,MCCC1,0.9782608695652174,0.0,0.9615384615384616,1.0,0.9803921568627451,23,25,1,48
391,ITGB4,0.9265873015873016,0.11111111111111116,0.8888888888888888,0.8888888888888888,0.8888888888888888,28,9,1,37
392,ACAD8,0.9166666666666667,0.0,0.9,1.0,0.9473684210526316,6,9,1,15
393,HMBS,1.0,0.0,1.0,1.0,1.0,21,14,1,35
394,POMT2,0.9732142857142857,0.0,0.8928571428571429,1.0,0.9433962264150945,56,25,1,81
395,CTSK,0.8333333333333334,0.0,0.9545454545454546,1.0,0.9767441860465117,3,21,1,24
396,POLR1C,0.9166666666666667,0.0,0.9090909090909091,1.0,0.9523809523809523,6,10,1,16
397,SLC13A5,0.9893617021276595,0.0,0.9,1.0,0.9473684210526316,47,9,1,56
398,BBS2,0.9852941176470588,0.0,0.9375,1.0,0.967741935483871,34,15,1,49
399,SURF1,0.9761904761904762,0.0,0.9583333333333334,1.0,0.9787234042553191,21,23,1,44
400,CUL3,0.9482758620689655,0.0,0.3333333333333333,1.0,0.5,58,3,1,61
401,GNPTAB,0.9377530364372471,0.019230769230769273,0.9622641509433962,0.9807692307692307,0.9714285714285713,19,52,1,71
402,FAH,0.9743589743589743,0.0,0.9375,1.0,0.967741935483871,39,30,1,69
403,OTOF,0.9565217391304348,0.0,0.7435897435897436,1.0,0.8529411764705882,115,29,1,144
404,CTH,1.0,0.0,1.0,1.0,1.0,8,1,1,9
405,COG5,1.0,0.0,1.0,1.0,1.0,24,4,1,28
406,COG8,1.0,0.0,1.0,1.0,1.0,18,2,1,20
407,ALG3,0.9615384615384616,0.0,0.8333333333333334,1.0,0.9090909090909091,13,5,1,18
408,ALMS1,0.9725270226007207,0.023255813953488413,0.8235294117647058,0.9767441860465116,0.8936170212765957,284,43,1,327
409,VPS13A,0.9823943661971831,0.0,0.5833333333333334,1.0,0.7368421052631579,142,7,1,149
410,HBA2,0.9375,0.0,0.9473684210526315,1.0,0.972972972972973,8,18,1,26
411,CASK,0.9110259122157588,0.032786885245901676,0.8676470588235294,0.9672131147540983,0.9147286821705426,62,61,1,123
412,GALNS,0.9230769230769231,0.0,0.8857142857142857,1.0,0.9393939393939393,26,31,1,57
