,Gene,AUC,FPR,Precision,Recall/TPR,F-score,N_benign,N_malign,m_cat,n_snvs
1332,ALG8,0.9482758620689655,0.0,0.4,1.0,0.5714285714285715,29,2,1,31
1333,PRSS56,1.0,0.0,1.0,1.0,1.0,10,1,1,11
1334,CCDC65,1.0,0.0,1.0,1.0,1.0,14,3,1,17
1335,KRT16,0.9734042553191489,0.0,0.5238095238095238,1.0,0.6875000000000001,188,11,1,199
1336,TERT,0.9373052959501558,0.08333333333333337,0.55,0.9166666666666666,0.6874999999999999,214,12,1,226
1337,ETFB,0.96875,0.0,0.75,1.0,0.8571428571428571,16,3,1,19
1338,PAX4,0.956140350877193,0.0,0.16666666666666666,1.0,0.2857142857142857,57,1,1,58
1339,GH1,1.0,0.0,1.0,1.0,1.0,5,3,1,8
1340,PITX1,0.875,0.0,0.3333333333333333,1.0,0.5,8,1,1,9
1341,SLC25A22,0.96875,0.0,0.6666666666666666,1.0,0.8,32,4,1,36
1342,ESCO2,1.0,0.0,1.0,1.0,1.0,14,6,1,20
1343,COPA,0.898876404494382,0.0,0.18181818181818182,1.0,0.3076923076923077,89,4,1,93
1344,UROD,1.0,0.0,1.0,1.0,1.0,6,2,1,8
1345,HYDIN,0.9811320754716981,0.0,0.6,1.0,0.7499999999999999,53,3,1,56
1346,MLYCD,1.0,0.0,1.0,1.0,1.0,45,4,1,49
1347,FREM1,0.9895833333333333,0.0,0.7,1.0,0.8235294117647058,144,7,1,151
1348,PIGO,0.9178921568627452,0.125,0.7777777777777778,0.875,0.823529411764706,51,8,1,59
1349,CHST6,0.9821428571428572,0.0,0.8,1.0,0.888888888888889,28,4,1,32
1350,PARK2,0.9786585365853658,0.0,0.3,1.0,0.4615384615384615,164,3,1,167
1351,D2HGDH,1.0,0.0,1.0,1.0,1.0,30,3,1,33
1352,SMS,0.9607843137254902,0.0,0.42857142857142855,1.0,0.6,51,3,1,54
1353,DPAGT1,1.0,0.0,1.0,1.0,1.0,6,4,1,10
1354,TRIOBP,0.9877049180327868,0.0,0.75,1.0,0.8571428571428571,122,9,1,131
1355,EIF2AK3,1.0,0.0,1.0,1.0,1.0,24,5,1,29
1356,CC2D1A,1.0,0.0,1.0,1.0,1.0,25,2,1,27
1357,NR2F2,1.0,0.0,1.0,1.0,1.0,6,4,1,10
1358,HADH,1.0,0.0,1.0,1.0,1.0,5,3,1,8
1359,IFT74,1.0,0.0,1.0,1.0,1.0,10,1,1,11
1360,PRX,1.0,0.0,1.0,1.0,1.0,94,6,1,100
1361,OR2W3,1.0,0.0,1.0,1.0,1.0,8,1,1,9
1362,MAGT1,0.8636363636363636,0.0,0.5714285714285714,1.0,0.7272727272727273,11,4,1,15
1363,GRM3,,,,,,0,1,0,1
1364,SMG9,1.0,0.0,1.0,1.0,1.0,1,2,1,3
1365,CHST14,0.9375,0.0,0.8333333333333334,1.0,0.9090909090909091,8,5,1,13
1366,HSD17B3,1.0,0.0,1.0,1.0,1.0,8,10,1,18
1367,KLHL40,0.9666666666666667,0.0,0.8571428571428571,1.0,0.923076923076923,15,6,1,21
1368,CEP135,1.0,0.0,1.0,1.0,1.0,20,3,1,23
1369,SLC26A3,1.0,0.0,1.0,1.0,1.0,14,2,1,16
1370,SCAPER,0.9166666666666667,0.0,0.5,1.0,0.6666666666666666,6,1,1,7
1371,ALDH18A1,1.0,0.0,1.0,1.0,1.0,31,7,1,38
1372,SPTA1,0.9417770419426049,0.08333333333333337,0.6875,0.9166666666666666,0.7857142857142857,151,12,1,163
1373,RPL5,0.6696428571428572,0.2857142857142857,0.625,0.7142857142857143,0.6666666666666666,8,7,1,15
1374,PHKB,0.9696969696969697,0.0,0.6,1.0,0.7499999999999999,33,3,1,36
1375,MTHFR,0.9852941176470588,0.0,0.8888888888888888,1.0,0.9411764705882353,34,8,1,42
1376,MTMR2,0.986842105263158,0.0,0.8333333333333334,1.0,0.9090909090909091,38,5,1,43
1377,CAV3,0.8582251082251082,0.16666666666666663,0.35714285714285715,0.8333333333333334,0.5,77,6,1,83
1378,CYP4F22,0.9375,0.0,0.875,1.0,0.9333333333333333,8,7,1,15
1379,AP4S1,0.9444444444444444,0.0,0.8333333333333334,1.0,0.9090909090909091,9,5,1,14
1380,FYCO1,0.9761904761904762,0.0,0.7142857142857143,1.0,0.8333333333333333,42,5,1,47
1381,PIK3R1,1.0,0.0,1.0,1.0,1.0,21,8,1,29
1382,TRAPPC11,0.98,0.0,0.875,1.0,0.9333333333333333,25,7,1,32
1383,A4GALT,,,,,,0,1,0,1
1384,PCBD1,,,,,,0,2,0,2
1385,PROK2,1.0,0.0,1.0,1.0,1.0,4,2,1,6
1386,ADGRG6,,,,,,0,2,0,2
1387,REEP1,0.9318181818181819,0.0,0.7272727272727273,1.0,0.8421052631578948,22,8,1,30
1388,SCARF2,0.9600000000000001,0.0,0.3333333333333333,1.0,0.5,25,1,1,26
1389,ERCC1,1.0,0.0,1.0,1.0,1.0,14,4,1,18
1390,ASH1L,0.8787878787878788,0.0,0.2727272727272727,1.0,0.42857142857142855,33,3,1,36
1391,FGF23,1.0,0.0,1.0,1.0,1.0,20,1,1,21
1392,FAM83H,0.90625,0.0,0.25,1.0,0.4,16,1,1,17
1393,PDE6A,0.96875,0.0,0.8461538461538461,1.0,0.9166666666666666,32,11,1,43
1394,TCTN3,0.9642857142857143,0.0,0.6,1.0,0.7499999999999999,28,3,1,31
1395,FSHB,1.0,0.0,1.0,1.0,1.0,3,1,1,4
1396,NDUFS3,1.0,0.0,1.0,1.0,1.0,6,4,1,10
1397,EVC2,0.9915254237288136,0.0,0.9333333333333333,1.0,0.9655172413793104,59,14,1,73
1398,TMEM231,0.9736842105263158,0.0,0.8333333333333334,1.0,0.9090909090909091,19,5,1,24
1399,YWHAG,0.8333333333333334,0.0,0.6666666666666666,1.0,0.8,3,2,1,5
1400,IBA57,1.0,0.0,1.0,1.0,1.0,14,1,1,15
1401,STRADA,1.0,0.0,1.0,1.0,1.0,16,1,1,17
1402,DLG3,0.8242424242424242,0.19999999999999996,0.4444444444444444,0.8,0.5714285714285714,33,5,1,38
1403,PREPL,0.9615384615384616,0.0,0.75,1.0,0.8571428571428571,13,3,1,16
1404,PMP22,0.9642857142857143,0.0,0.8181818181818182,1.0,0.9,28,9,1,37
1405,ATP2C1,0.8947368421052632,0.0,0.38461538461538464,1.0,0.5555555555555556,38,5,1,43
1406,TAT,1.0,0.0,1.0,1.0,1.0,6,4,1,10
1407,POLR3B,0.94,0.0,0.7272727272727273,1.0,0.8421052631578948,25,8,1,33
1408,MARVELD2,1.0,0.0,1.0,1.0,1.0,18,4,1,22
1409,GUCY2D,1.0,0.0,1.0,1.0,1.0,35,10,1,45
1410,TRAPPC9,0.9261363636363636,0.125,0.875,0.875,0.875,44,8,1,52
1411,CYP4V2,1.0,0.0,1.0,1.0,1.0,29,5,1,34
1412,KCNH1,0.875,0.16666666666666663,0.8333333333333334,0.8333333333333334,0.8333333333333334,12,6,1,18
1413,SLX4,0.9869565217391305,0.0,0.5714285714285714,1.0,0.7272727272727273,115,4,1,119
1414,RSPH3,0.9523809523809523,0.0,0.5,1.0,0.6666666666666666,21,2,1,23
1415,QDPR,0.9,0.19999999999999996,1.0,0.8,0.888888888888889,21,5,1,26
1416,SLC6A19,1.0,0.0,1.0,1.0,1.0,25,4,1,29
1417,MMP21,0.9166666666666667,0.0,0.75,1.0,0.8571428571428571,6,3,1,9
1418,ADAMTS13,1.0,0.0,1.0,1.0,1.0,23,4,1,27
1419,ANTXR1,1.0,0.0,1.0,1.0,1.0,9,3,1,12
1420,AUH,1.0,0.0,1.0,1.0,1.0,17,4,1,21
1421,CD46,1.0,0.0,1.0,1.0,1.0,21,2,1,23
1422,SOX11,0.8611111111111112,0.0,0.5833333333333334,1.0,0.7368421052631579,18,7,1,25
1423,IL2RA,1.0,0.0,1.0,1.0,1.0,24,1,1,25
1424,MYL2,0.9201183431952662,0.0,0.37209302325581395,1.0,0.5423728813559322,169,16,1,185
1425,ZBTB42,,,,,,0,1,0,1
1426,FDXR,,,,,,0,1,0,1
1427,ACP5,1.0,0.0,1.0,1.0,1.0,6,3,1,9
1428,MEGF10,0.9795918367346939,0.0,0.8,1.0,0.888888888888889,49,8,1,57
1429,DNM1L,0.9509803921568628,0.0,0.5454545454545454,1.0,0.7058823529411764,51,6,1,57
1430,ANK2,0.8062452972159517,0.33333333333333337,0.07692307692307693,0.6666666666666666,0.13793103448275862,443,3,1,446
1431,PURA,1.0,0.0,1.0,1.0,1.0,11,2,1,13
1432,PLEKHG5,0.9827586206896552,0.0,0.5714285714285714,1.0,0.7272727272727273,87,4,1,91
1433,KCNJ10,1.0,0.0,1.0,1.0,1.0,28,1,1,29
1434,HK1,0.9857142857142857,0.0,0.6666666666666666,1.0,0.8,35,2,1,37
1435,KLHL7,1.0,0.0,1.0,1.0,1.0,14,3,1,17
1436,ATP2B2,0.7222222222222222,0.0,0.2857142857142857,1.0,0.4444444444444445,9,2,1,11
1437,NEFL,0.9655172413793103,0.0,0.8,1.0,0.888888888888889,29,8,1,37
1438,SLC18A2,1.0,0.0,1.0,1.0,1.0,7,2,1,9
1439,TBX1,0.9777777777777779,0.0,0.7142857142857143,1.0,0.8333333333333333,45,5,1,50
1440,FTO,1.0,0.0,1.0,1.0,1.0,9,2,1,11
1441,TANGO2,1.0,0.0,1.0,1.0,1.0,4,6,1,10
1442,HMGCS2,1.0,0.0,1.0,1.0,1.0,10,6,1,16
1443,PHYH,1.0,0.0,1.0,1.0,1.0,23,4,1,27
1444,DLL3,1.0,0.0,1.0,1.0,1.0,15,2,1,17
1445,F9,0.8770491803278688,0.0,0.34782608695652173,1.0,0.5161290322580645,61,8,1,69
1446,RSPH1,0.9473684210526316,0.0,0.75,1.0,0.8571428571428571,19,6,1,25
1447,CSF1R,0.9472361809045226,0.0,0.19230769230769232,1.0,0.32258064516129037,199,5,1,204
1448,ERCC3,1.0,0.0,1.0,1.0,1.0,18,2,1,20
1449,CNTNAP1,1.0,0.0,1.0,1.0,1.0,1,3,1,4
1450,CHAT,0.967741935483871,0.0,0.7777777777777778,1.0,0.8750000000000001,31,7,1,38
1451,MRPL3,0.9615384615384616,0.0,0.5,1.0,0.6666666666666666,13,1,1,14
1452,FUCA1,0.8516483516483516,0.1428571428571429,0.75,0.8571428571428571,0.7999999999999999,13,7,1,20
1453,LIPH,1.0,0.0,1.0,1.0,1.0,2,3,1,5
1454,TTC19,1.0,0.0,1.0,1.0,1.0,18,7,1,25
1455,GIPC3,1.0,0.0,1.0,1.0,1.0,18,2,1,20
1456,SETD1A,0.9038461538461539,0.0,0.5,1.0,0.6666666666666666,26,5,1,31
1457,CYP7B1,1.0,0.0,1.0,1.0,1.0,18,7,1,25
1458,ANKH,0.9647887323943661,0.0,0.0625,1.0,0.11764705882352941,213,1,1,214
1459,CTBP1,,,,,,0,1,0,1
1460,MIPEP,,,,,,0,1,0,1
1461,SORL1,0.8944954128440367,0.0,0.041666666666666664,1.0,0.07999999999999999,109,1,1,110
1462,CWF19L1,1.0,0.0,1.0,1.0,1.0,4,6,1,10
1463,PLA2G4A,,,,,,0,1,0,1
1464,EDNRB,0.9791666666666667,0.0,0.8333333333333334,1.0,0.9090909090909091,24,5,1,29
1465,MED25,1.0,0.0,1.0,1.0,1.0,48,3,1,51
1466,LTBP4,0.9925373134328358,0.0,0.6666666666666666,1.0,0.8,67,2,1,69
1467,POLG2,0.9291666666666667,0.0,0.10526315789473684,1.0,0.1904761904761905,120,2,1,122
1468,SCO1,1.0,0.0,1.0,1.0,1.0,10,4,1,14
1469,BBS12,0.9743589743589743,0.0,0.8,1.0,0.888888888888889,39,8,1,47
1470,UBA5,1.0,0.0,1.0,1.0,1.0,4,3,1,7
1471,SLC19A2,0.9545454545454545,0.0,0.6666666666666666,1.0,0.8,11,2,1,13
1472,NIN,1.0,0.0,1.0,1.0,1.0,41,1,1,42
1473,CBL,0.9335664335664335,0.0,0.3870967741935484,1.0,0.5581395348837209,143,12,1,155
1474,KIF1C,1.0,0.0,1.0,1.0,1.0,35,2,1,37
1475,PRR12,0.8,0.0,0.3333333333333333,1.0,0.5,10,2,1,12
1476,NPRL3,0.9032258064516129,0.0,0.4,1.0,0.5714285714285715,31,4,1,35
1477,NR1H4,1.0,0.0,1.0,1.0,1.0,3,4,1,7
1478,C5orf42,0.9302721088435374,0.0,0.023809523809523808,1.0,0.046511627906976744,294,1,1,295
1479,MET,0.8896907216494845,0.19999999999999996,0.5,0.8,0.6153846153846154,194,5,1,199
1480,KCND3,0.9787234042553192,0.0,0.6666666666666666,1.0,0.8,47,4,1,51
1481,PROKR2,0.9444444444444444,0.0,0.8333333333333334,1.0,0.9090909090909091,9,5,1,14
1482,ARV1,1.0,0.0,1.0,1.0,1.0,2,1,1,3
1483,CACNA1D,0.98,0.0,0.3333333333333333,1.0,0.5,100,2,1,102
1484,GDI1,1.0,0.0,1.0,1.0,1.0,7,2,1,9
1485,LOX,0.9736842105263158,0.0,0.8,1.0,0.888888888888889,19,4,1,23
1486,FUS,0.9925373134328358,0.0,0.875,1.0,0.9333333333333333,67,7,1,74
1487,TMEM107,,,,,,0,2,0,2
1488,CYB5A,,,,,,0,2,0,2
1489,RIMS1,0.9368932038834952,0.0,0.13333333333333333,1.0,0.23529411764705882,103,2,1,105
1490,MKKS,0.9821428571428572,0.0,0.8,1.0,0.888888888888889,28,4,1,32
1491,TRAPPC12,1.0,0.0,1.0,1.0,1.0,4,2,1,6
1492,UMOD,0.9338235294117647,0.0,0.5,1.0,0.6666666666666666,68,9,1,77
1493,GPAA1,1.0,0.0,1.0,1.0,1.0,3,4,1,7
1494,NLRP3,0.9656488549618321,0.0,0.625,1.0,0.7692307692307693,131,15,1,146
1495,APTX,0.9787234042553192,0.0,0.7142857142857143,1.0,0.8333333333333333,47,5,1,52
1496,EFHB,1.0,0.0,1.0,1.0,1.0,1,1,1,2
1497,GUF1,0.75,0.0,0.5,1.0,0.6666666666666666,2,1,1,3
1498,PPP3CA,0.8902439024390244,0.0,0.18181818181818182,1.0,0.3076923076923077,41,2,1,43
1499,PDP1,0.9444444444444444,0.0,0.5,1.0,0.6666666666666666,9,1,1,10
1500,TERC,0.875,0.0,0.4666666666666667,1.0,0.6363636363636364,32,7,1,39
1501,KCNC3,0.9971428571428572,0.0,0.8,1.0,0.888888888888889,175,4,1,179
1502,CCDC103,1.0,0.0,1.0,1.0,1.0,8,1,1,9
1503,LPIN1,1.0,0.0,1.0,1.0,1.0,24,2,1,26
1504,AMN,1.0,0.0,1.0,1.0,1.0,5,1,1,6
1505,PRKAG2,0.9818181818181818,0.0,0.625,1.0,0.7692307692307693,165,10,1,175
1506,COL9A3,0.8591127098321344,0.16666666666666663,0.23809523809523808,0.8333333333333334,0.37037037037037035,139,6,1,145
1507,SERPINI1,0.9695121951219512,0.0,0.2857142857142857,1.0,0.4444444444444445,82,2,1,84
1508,SKIV2L,0.98,0.0,0.5,1.0,0.6666666666666666,25,1,1,26
1509,NR3C2,0.9473684210526316,0.0,0.5,1.0,0.6666666666666666,57,6,1,63
1510,NDUFS6,1.0,0.0,1.0,1.0,1.0,5,2,1,7
1511,VRK1,0.9642857142857143,0.0,0.8333333333333334,1.0,0.9090909090909091,14,5,1,19
1512,PATL2,0.8333333333333333,0.33333333333333337,1.0,0.6666666666666666,0.8,2,3,1,5
1513,MPZL2,1.0,0.0,1.0,1.0,1.0,1,1,1,2
1514,MLPH,1.0,0.0,1.0,1.0,1.0,23,1,1,24
1515,SCNN1B,0.9772727272727273,0.0,0.8333333333333334,1.0,0.9090909090909091,22,5,1,27
1516,JPH2,0.9754901960784313,0.0,0.09090909090909091,1.0,0.16666666666666669,204,1,1,205
1517,MAP2K2,0.9322916666666667,0.0,0.38095238095238093,1.0,0.5517241379310345,96,8,1,104
1518,UQCRC2,1.0,0.0,1.0,1.0,1.0,13,2,1,15
1519,ATP6V0A2,0.9666666666666667,0.0,0.5,1.0,0.6666666666666666,60,4,1,64
1520,RBP4,1.0,0.0,1.0,1.0,1.0,4,2,1,6
1521,CSNK2A1,0.9,0.0,0.875,1.0,0.9333333333333333,5,7,1,12
1522,NOBOX,0.9259259259259259,0.0,0.1111111111111111,1.0,0.19999999999999998,54,1,1,55
1523,SLC6A5,0.9803921568627452,0.0,0.6666666666666666,1.0,0.8,51,4,1,55
1524,DCAF17,0.96875,0.0,0.3333333333333333,1.0,0.5,32,1,1,33
1525,F13A1,1.0,0.0,1.0,1.0,1.0,16,1,1,17
1526,DSG1,1.0,0.0,1.0,1.0,1.0,9,4,1,13
1527,GMPPA,1.0,0.0,1.0,1.0,1.0,21,1,1,22
1528,CFL2,0.9375,0.0,0.5,1.0,0.6666666666666666,8,1,1,9
1529,NIPAL4,1.0,0.0,1.0,1.0,1.0,5,3,1,8
1530,RSPH9,0.9375,0.0,0.8333333333333334,1.0,0.9090909090909091,8,5,1,13
1531,CEP63,0.9375,0.0,0.5,1.0,0.6666666666666666,16,2,1,18
1532,RBBP8,1.0,0.0,1.0,1.0,1.0,18,3,1,21
1533,SLC22A12,0.8333333333333333,0.33333333333333337,1.0,0.6666666666666666,0.8,10,3,1,13
1534,TBX6,0.8333333333333334,0.0,0.2222222222222222,1.0,0.3636363636363636,21,2,1,23
1535,ZNF408,0.9285714285714286,0.0,0.3333333333333333,1.0,0.5,14,1,1,15
1536,FECH,0.9933333333333334,0.0,0.8,1.0,0.888888888888889,75,4,1,79
1537,CHRNB2,0.7354545454545456,0.5,0.1111111111111111,0.5,0.1818181818181818,275,2,1,277
1538,CLCN2,0.8414634146341463,0.0,0.13333333333333333,1.0,0.23529411764705882,123,6,1,129
1539,ITGB2,0.9534883720930233,0.0,0.6923076923076923,1.0,0.8181818181818181,43,9,1,52
1540,AXIN2,0.9772727272727273,0.0,0.4444444444444444,1.0,0.6153846153846153,220,8,1,228
1541,DDX11,0.9883720930232558,0.0,0.8,1.0,0.888888888888889,43,4,1,47
1542,RSPO4,1.0,0.0,1.0,1.0,1.0,1,1,1,2
1543,CACNA1S,0.953125,0.0,0.11764705882352941,1.0,0.21052631578947367,160,2,1,162
1544,TUBB4B,0.9375,0.0,0.6666666666666666,1.0,0.8,8,2,1,10
1545,BUB1B,1.0,0.0,1.0,1.0,1.0,49,4,1,53
1546,ABAT,1.0,0.0,1.0,1.0,1.0,45,4,1,49
1547,CHD4,0.9696969696969697,0.0,0.4444444444444444,1.0,0.6153846153846153,165,8,1,173
1548,FANCB,0.9487179487179488,0.0,0.42857142857142855,1.0,0.6,39,3,1,42
1549,MTHFD1,1.0,0.0,1.0,1.0,1.0,9,6,1,15
1550,ASXL2,0.7380952380952381,0.0,0.15384615384615385,1.0,0.2666666666666667,21,2,1,23
1551,PEPD,0.9761904761904762,0.0,0.6666666666666666,1.0,0.8,21,2,1,23
1552,CCND2,0.9130434782608696,0.0,0.42857142857142855,1.0,0.6,23,3,1,26
1553,LAMC3,0.8247126436781609,0.33333333333333337,0.5,0.6666666666666666,0.5714285714285715,116,3,1,119
1554,ATP13A2,0.983050847457627,0.0,0.75,1.0,0.8571428571428571,59,6,1,65
1555,SUCLA2,1.0,0.0,1.0,1.0,1.0,25,6,1,31
1556,HEPACAM,0.7777777777777777,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.6666666666666666,9,3,1,12
1557,MYO3A,0.9454545454545454,0.0,0.5,1.0,0.6666666666666666,55,6,1,61
1558,ADAMTS2,1.0,0.0,1.0,1.0,1.0,107,3,1,110
1559,SLC38A8,1.0,0.0,1.0,1.0,1.0,21,3,1,24
1560,RFXANK,1.0,0.0,1.0,1.0,1.0,9,2,1,11
1561,BPTF,0.7833333333333333,0.0,0.13333333333333333,1.0,0.23529411764705882,30,2,1,32
1562,SLC7A9,1.0,0.0,1.0,1.0,1.0,21,5,1,26
1563,UBE3B,0.9782608695652174,0.0,0.875,1.0,0.9333333333333333,23,7,1,30
1564,KRT6B,0.9933333333333334,0.0,0.6666666666666666,1.0,0.8,150,4,1,154
1565,GCSH,1.0,0.0,1.0,1.0,1.0,23,2,1,25
1566,SLC29A3,0.967741935483871,0.0,0.7142857142857143,1.0,0.8333333333333333,31,5,1,36
1567,NMNAT1,0.8709677419354839,0.0,0.2,1.0,0.33333333333333337,62,4,1,66
1568,ALG6,1.0,0.0,1.0,1.0,1.0,18,4,1,22
1569,EZH2,0.9224137931034483,0.0,0.4,1.0,0.5714285714285715,116,12,1,128
1570,GBA2,1.0,0.0,1.0,1.0,1.0,21,3,1,24
1571,CTSC,0.9615384615384616,0.0,0.75,1.0,0.8571428571428571,13,3,1,16
1572,HNMT,,,,,,0,1,0,1
1573,SMAD6,0.843503937007874,0.25,0.2727272727272727,0.75,0.39999999999999997,127,4,1,131
1574,TULP1,0.9375,0.0,0.7777777777777778,1.0,0.8750000000000001,16,7,1,23
1575,MC4R,0.8064102564102564,0.06666666666666665,0.358974358974359,0.9333333333333333,0.5185185185185185,78,15,1,93
1576,IFT43,1.0,0.0,1.0,1.0,1.0,16,2,1,18
1577,HERC2,0.99,0.0,0.6666666666666666,1.0,0.8,50,2,1,52
1578,SLC2A2,1.0,0.0,1.0,1.0,1.0,21,6,1,27
1579,SUOX,1.0,0.0,1.0,1.0,1.0,6,1,1,7
1580,SBF2,0.988095238095238,0.0,0.6666666666666666,1.0,0.8,84,4,1,88
1581,TMC6,0.9883720930232558,0.0,0.5,1.0,0.6666666666666666,43,1,1,44
1582,TRIM32,0.9666666666666667,0.0,0.875,1.0,0.9333333333333333,15,7,1,22
1583,VARS2,0.9893617021276595,0.0,0.8,1.0,0.888888888888889,47,4,1,51
1584,SPINK1,1.0,0.0,1.0,1.0,1.0,16,2,1,18
1585,CARD11,1.0,0.0,1.0,1.0,1.0,38,3,1,41
1586,PPP2R1A,0.875,0.0,0.26666666666666666,1.0,0.4210526315789474,44,4,1,48
1587,ATP6V0A4,0.9821428571428572,0.0,0.8571428571428571,1.0,0.923076923076923,28,6,1,34
1588,SLC1A4,1.0,0.0,1.0,1.0,1.0,3,2,1,5
1589,TRIM37,1.0,0.0,1.0,1.0,1.0,15,3,1,18
1590,PAX8,1.0,0.0,1.0,1.0,1.0,12,1,1,13
1591,ORC1,0.9666666666666667,0.0,0.6666666666666666,1.0,0.8,15,2,1,17
1592,CYP11A1,1.0,0.0,1.0,1.0,1.0,4,5,1,9
1593,SPEG,1.0,0.0,1.0,1.0,1.0,23,1,1,24
1594,B3GALT6,1.0,0.0,1.0,1.0,1.0,12,2,1,14
1595,CHRNA1,0.9807692307692308,0.0,0.9090909090909091,1.0,0.9523809523809523,26,10,1,36
1596,ACO2,0.9444444444444444,0.11111111111111116,1.0,0.8888888888888888,0.9411764705882353,33,9,1,42
1597,MAPT,0.9878048780487805,0.0,0.75,1.0,0.8571428571428571,82,6,1,88
1598,AP1S2,1.0,0.0,1.0,1.0,1.0,2,1,1,3
1599,TPK1,0.9166666666666667,0.0,0.8888888888888888,1.0,0.9411764705882353,6,8,1,14
1600,PSEN1,0.8669724770642202,0.0,0.4423076923076923,1.0,0.6133333333333333,109,23,1,132
1601,NDUFS7,1.0,0.0,1.0,1.0,1.0,34,3,1,37
1602,VLDLR,1.0,0.0,1.0,1.0,1.0,49,4,1,53
1603,TCTN1,0.9772727272727273,0.0,0.8,1.0,0.888888888888889,22,4,1,26
1604,TUBB2A,0.8333333333333334,0.0,0.4583333333333333,1.0,0.6285714285714286,39,11,1,50
1605,NCF1,1.0,0.0,1.0,1.0,1.0,6,2,1,8
1606,KRT1,0.956140350877193,0.0,0.4444444444444444,1.0,0.6153846153846153,114,8,1,122
1607,EFEMP2,0.9791666666666667,0.0,0.5,1.0,0.6666666666666666,48,2,1,50
1608,PIGV,1.0,0.0,1.0,1.0,1.0,26,4,1,30
1609,LCAT,1.0,0.0,1.0,1.0,1.0,24,1,1,25
1610,BICD2,0.9061274509803922,0.125,0.30434782608695654,0.875,0.4516129032258065,255,8,1,263
1611,ITGA3,1.0,0.0,1.0,1.0,1.0,19,2,1,21
1612,SULT2B1,1.0,0.0,1.0,1.0,1.0,1,4,1,5
1613,COL4A3,1.0,0.0,1.0,1.0,1.0,74,1,1,75
1614,DIAPH1,0.8841463414634146,0.0,0.17391304347826086,1.0,0.29629629629629634,82,4,1,86
1615,UQCRB,1.0,0.0,1.0,1.0,1.0,4,5,1,9
1616,SAG,0.98,0.0,0.6666666666666666,1.0,0.8,25,2,1,27
1617,FNDC8,,,,,,30,0,0,30
1618,LMOD3,0.9874999999999999,0.0,0.75,1.0,0.8571428571428571,40,3,1,43
1619,B3GALNT2,0.9,0.19999999999999996,1.0,0.8,0.888888888888889,28,5,1,33
1620,NUP107,0.9285714285714286,0.0,0.5,1.0,0.6666666666666666,7,1,1,8
1621,MOGS,1.0,0.0,1.0,1.0,1.0,10,1,1,11
1622,FRRS1L,1.0,0.0,1.0,1.0,1.0,8,3,1,11
1623,ABCA1,0.9967637540453074,0.0,0.8181818181818182,1.0,0.9,309,9,1,318
1624,ALB,1.0,0.0,1.0,1.0,1.0,9,1,1,10
1625,PRSS1,0.75,0.5,1.0,0.5,0.6666666666666666,185,6,1,191
1626,DRC1,1.0,0.0,1.0,1.0,1.0,43,3,1,46
1627,AICDA,1.0,0.0,1.0,1.0,1.0,13,3,1,16
1628,CANT1,1.0,0.0,1.0,1.0,1.0,13,4,1,17
1629,NID1,0.8421052631578947,0.0,0.14285714285714285,1.0,0.25,19,1,1,20
1630,PCSK9,0.9779735682819383,0.0,0.23076923076923078,1.0,0.375,681,9,1,690
1631,SHOX,0.9722222222222222,0.0,0.5,1.0,0.6666666666666666,18,1,1,19
1632,SPG21,1.0,0.0,1.0,1.0,1.0,1,1,1,2
1633,ERBB4,0.9761904761904762,0.0,0.1111111111111111,1.0,0.19999999999999998,168,1,1,169
1634,NOG,0.8083333333333332,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.6666666666666666,20,3,1,23
1635,TINF2,0.890625,0.0,0.46153846153846156,1.0,0.631578947368421,32,6,1,38
1636,SPAG1,0.8257575757575757,0.0,0.20689655172413793,1.0,0.34285714285714286,66,6,1,72
1637,NFIB,,,,,,0,1,0,1
1638,LIPT2,,,,,,0,3,0,3
1639,ENPP1,1.0,0.0,1.0,1.0,1.0,61,3,1,64
1640,KMT2C,0.8476190476190476,0.0,0.21951219512195122,1.0,0.36,105,9,1,114
1641,CSTA,1.0,0.0,1.0,1.0,1.0,1,1,1,2
1642,MED23,0.9285714285714286,0.0,0.75,1.0,0.8571428571428571,14,6,1,20
1643,PDE11A,0.7260397830018084,0.1428571428571429,0.15789473684210525,0.8571428571428571,0.26666666666666666,79,7,1,86
1644,KCNMA1,0.975,0.0,0.2857142857142857,1.0,0.4444444444444445,100,2,1,102
1645,ARHGAP29,0.5714285714285714,0.0,0.3333333333333333,1.0,0.5,7,3,1,10
1646,TBXAS1,0.8888888888888888,0.0,0.6,1.0,0.7499999999999999,9,3,1,12
1647,MAMLD1,0.9666666666666667,0.0,0.5,1.0,0.6666666666666666,15,1,1,16
1648,PLOD2,0.875,0.25,1.0,0.75,0.8571428571428571,14,4,1,18
1649,OBSL1,0.9716981132075472,0.0,0.5,1.0,0.6666666666666666,53,3,1,56
1650,PROS1,1.0,0.0,1.0,1.0,1.0,9,7,1,16
1651,SPR,0.8571428571428572,0.0,0.7142857142857143,1.0,0.8333333333333333,7,5,1,12
1652,ALAS2,1.0,0.0,1.0,1.0,1.0,28,1,1,29
1653,CIB2,1.0,0.0,1.0,1.0,1.0,6,1,1,7
1654,APOE,0.9444444444444444,0.0,0.5,1.0,0.6666666666666666,18,2,1,20
1655,CKAP2L,,,,,,0,1,0,1
1656,SEPSECS,1.0,0.0,1.0,1.0,1.0,16,4,1,20
